policy_id,region,year,health_benefits_per_capita_usd,air_quality_improvement_percent,premature_deaths_averted,work_days_saved,energy_poverty_reduction_percent,income_equity_impact,public_acceptance_percent,political_support_percent,stakeholder_opposition_percent,implementation_barriers,co_benefits_score,health_costs_millions_usd,population_millions,life_expectancy,education_index,income_index
P009,North America,2020,32,9.5,5800,87000,2.8,0.3,76,68,24,"Installation costs, Grid connection",7.6,0,0,0,0,0
P009,Europe,2020,36,11.2,4500,71000,3.2,0.4,80,73,20,"Installation costs, Aesthetic concerns",8.0,0,0,0,0,0
P009,Asia Pacific,2020,28,14.8,11200,135000,2.2,0.2,70,62,30,"Installation costs, Roof access",6.8,0,0,0,0,0
P010,North America,2020,45,12.8,8200,123000,4.5,0.4,68,58,32,"Visual impact, Wildlife concerns",7.4,0,0,0,0,0
P010,Europe,2020,50,15.2,6400,101000,5.0,0.5,72,63,28,"Visual impact, Tourism concerns",7.8,0,0,0,0,0
P010,Asia Pacific,2020,38,18.5,15200,185000,3.8,0.3,62,52,38,"Visual impact, Fishing rights",6.2,0,0,0,0,0
P031,North America,2020,42,11.5,7500,112000,3.5,0.2,70,65,30,"Market complexity, Price volatility",7.5,0,0,0,0,0
P031,Europe,2020,48,13.8,5800,92000,4.0,0.3,75,70,25,"Market complexity, International coordination",7.9,0,0,0,0,0
P031,Asia Pacific,2020,35,17.2,13800,168000,3.0,0.1,62,55,38,"Market complexity, Market development",6.5,0,0,0,0,0
P032,North America,2020,35,10.2,6200,93000,2.5,0.3,72,65,28,"Subsidy costs, Market distortion",7.3,0,0,0,0,0
P032,Europe,2020,40,12.2,4800,76000,2.8,0.4,76,69,24,"Subsidy costs, Technology lock-in",7.7,0,0,0,0,0
P032,Asia Pacific,2020,28,15.5,11800,142000,2.2,0.2,65,58,35,"Subsidy costs, Budget constraints",6.6,0,0,0,0,0
P033,North America,2020,58,18.5,10200,153000,6.2,0.5,82,75,25,"Infrastructure complexity, Cybersecurity",8.6,0,0,0,0,0
P033,Europe,2020,64,21.2,7800,123000,6.8,0.6,85,78,22,"Infrastructure complexity, Privacy concerns",9.0,0,0,0,0,0
P033,Asia Pacific,2020,48,25.8,18200,220000,5.5,0.4,72,63,28,"Infrastructure complexity, Digital divide",7.3,0,0,0,0,0
P034,North America,2020,38,8.8,6800,102000,3.8,0.4,65,58,35,"Technology maturity, Safety concerns",6.8,0,0,0,0,0
P034,Europe,2020,42,10.5,5200,82000,4.2,0.5,68,61,32,"Technology maturity, Infrastructure needs",7.2,0,0,0,0,0
P034,Asia Pacific,2020,32,13.2,12800,156000,3.2,0.3,58,50,42,"Technology maturity, Cost competitiveness",5.9,0,0,0,0,0
P035,North America,2020,45,15.5,8200,123000,4.2,0.3,62,55,38,"Technology costs, Storage capacity",6.5,0,0,0,0,0
P035,Europe,2020,50,18.2,6400,101000,4.8,0.4,65,58,35,"Technology costs, Public acceptance",6.9,0,0,0,0,0
P035,Asia Pacific,2020,38,22.8,15200,185000,3.8,0.2,55,48,45,"Technology costs, Regulatory framework",5.6,0,0,0,0,0 
P101,North America,2023,55,14.2,9000,130000,2.5,0.2,68,60,32,"Fossil fuel lobbying, State-level policy conflicts",7.5,0,0,0,0,0
P102,Europe,2023,60,17.5,7000,100000,3.1,0.3,75,72,20,"Cross-border coordination, Labor union resistance",8.1,0,0,0,0,0
P103,North America,2024,60,15.8,9500,135000,2.9,0.3,70,62,30,"Misinformation campaigns, Regulatory delays",7.9,0,0,0,0,0
P104,Europe,2024,65,19.0,7500,105000,3.5,0.4,78,74,18,"Public protests, Local government pushback",8.4,0,0,0,0,0
P105,North America,2025,62,16.5,9800,140000,3.0,0.4,72,65,28,"Litigation, Infrastructure bottlenecks",8.0,0,0,0,0,0
P106,Europe,2025,68,20.2,7800,110000,3.8,0.5,80,76,16,"EU regulatory changes, Political fragmentation",8.7,0,0,0,0,0 
